iter	Logloss
0	0.6868034963
1	0.6821378215
2	0.6763512686
3	0.6711610087
4	0.6664601015
5	0.6603485279
6	0.6548347902
7	0.6513868182
8	0.6460020087
9	0.6408529389
10	0.6361915931
11	0.6308376441
12	0.6259975648
13	0.621156071
14	0.6163388799
15	0.6116385299
16	0.6073364086
17	0.6031788601
18	0.5997416036
19	0.5954449257
20	0.5919258889
21	0.5874881959
22	0.584197398
23	0.5802671025
24	0.5760328314
25	0.5724772764
26	0.5688076234
27	0.5649663518
28	0.5631221814
29	0.5594235109
30	0.5564799362
31	0.5533171236
32	0.5503549469
33	0.5474157869
34	0.5443260107
35	0.5410871184
36	0.5380436758
37	0.5350086769
38	0.5323416892
39	0.5294746656
40	0.5263468282
41	0.5236038894
42	0.5211430667
43	0.518128813
44	0.5161167531
45	0.5138420362
46	0.5111558893
47	0.5091327281
48	0.5063879463
49	0.5037672493
50	0.5021158283
51	0.5001481303
52	0.4981835183
53	0.4957803019
54	0.4934526508
55	0.4912017651
56	0.4890302165
57	0.4870392874
58	0.4852588096
59	0.4832612798
60	0.4811160484
61	0.4793585016
62	0.4777483994
63	0.4760183699
64	0.473911414
65	0.4729002192
66	0.4712979177
67	0.4697371065
68	0.4681469349
69	0.4663856163
70	0.4648920981
71	0.4633717483
72	0.4617605317
73	0.4603907124
74	0.4584365159
75	0.457008619
76	0.455536403
77	0.454229462
78	0.4530081588
79	0.4516480692
80	0.450336542
81	0.4488111346
82	0.4473292747
83	0.4463073216
84	0.4450098959
85	0.4435501527
86	0.4419880128
87	0.4410372102
88	0.4399820392
89	0.4389990474
90	0.4381716439
91	0.4372906631
92	0.4361491686
93	0.434889204
94	0.4339837064
95	0.4329467945
96	0.4323143691
97	0.4310745925
98	0.4302236578
99	0.4293633365
100	0.4283992039
101	0.4274242273
102	0.4266118682
103	0.4256612371
104	0.4247359372
105	0.4239440232
106	0.422939472
107	0.4220757645
108	0.4211849256
109	0.4202686696
110	0.4193176955
111	0.4185720722
112	0.4177570986
113	0.4168831472
114	0.4161516682
115	0.4156016661
116	0.4147026405
117	0.4139709473
118	0.4136276674
119	0.4127363141
120	0.4119405854
121	0.4113106031
122	0.4104284222
123	0.4096155059
124	0.4092618964
125	0.4086989071
126	0.4080788259
127	0.4074779896
128	0.4069056993
129	0.406086911
130	0.4053720196
131	0.4049286574
132	0.4043387938
133	0.4036356037
134	0.4029069108
135	0.4027170331
136	0.40230406
137	0.4016340449
138	0.4013646587
139	0.400687057
140	0.4000423303
141	0.3993991037
142	0.3991883524
143	0.3986345784
144	0.3980655884
145	0.3977101358
146	0.3973106213
147	0.3968228544
148	0.3964303692
149	0.3960590148
150	0.3955438164
151	0.3950163166
152	0.3943969212
153	0.39417344
154	0.3935377571
155	0.3930692351
156	0.3929276627
157	0.392325412
158	0.392036138
159	0.3915655158
160	0.3911141385
161	0.3907603575
162	0.3903352973
163	0.3900367651
164	0.3894511019
165	0.3889792796
166	0.3885396893
167	0.388427863
168	0.387951283
169	0.3877574192
170	0.3873870935
171	0.3869688913
172	0.3866158818
173	0.3865256149
174	0.3859633542
175	0.3857740338
176	0.3854953894
177	0.3851533525
178	0.3849370721
179	0.3845556023
180	0.3840734503
181	0.3836915091
182	0.3831841115
183	0.3827267765
184	0.3824024843
185	0.3820429598
186	0.3819607081
187	0.3815243325
188	0.3812921931
189	0.3809408981
190	0.380757064
191	0.3805583139
192	0.3802854131
193	0.379888556
194	0.3796800763
195	0.3794164765
196	0.3792777758
197	0.3788906483
198	0.3784015527
199	0.3782253051
200	0.3778758103
201	0.3776482571
202	0.3773800711
203	0.377015446
204	0.3766730662
205	0.3763357441
206	0.3760438555
207	0.3756986468
208	0.3754178165
209	0.3750001714
210	0.3747557737
211	0.3743896913
212	0.3738943379
213	0.3736391389
214	0.3733360633
215	0.3730925656
216	0.3728092494
217	0.3725855538
218	0.3723722308
219	0.371964101
220	0.3716829278
221	0.3715063802
222	0.3713090875
223	0.3710399156
224	0.3708206348
225	0.3705278461
226	0.3704602102
227	0.3702368576
228	0.3700202342
229	0.3697004854
230	0.3694914486
231	0.3691416537
232	0.3689042852
233	0.3685776786
234	0.3684568941
235	0.3679968159
236	0.3676923259
237	0.3674793029
238	0.3672148458
239	0.3670205534
240	0.36684362
241	0.3665432448
242	0.3663291503
243	0.3659674827
244	0.3656946247
245	0.3655398937
246	0.3651382361
247	0.3648950813
248	0.3646694569
249	0.364511297
250	0.3643575947
251	0.3641320989
252	0.3640070283
253	0.3637276124
254	0.3635542795
255	0.3634055491
256	0.3631302051
257	0.3628000838
258	0.3624618187
259	0.3622668834
260	0.3619861817
261	0.3618248929
262	0.36155975
263	0.3613998327
264	0.3612043831
265	0.3609863453
266	0.3608410439
267	0.3606135336
268	0.3603873949
269	0.3601535411
270	0.3600276133
271	0.3597437826
272	0.3595073786
273	0.3592683171
274	0.3589284875
275	0.3587179291
276	0.3585236367
277	0.358353647
278	0.358151468
279	0.3579823998
280	0.3578015231
281	0.3575887787
282	0.3573454525
283	0.3572243894
284	0.3569933859
285	0.3568398336
286	0.3566615287
287	0.3561573243
288	0.3559449442
289	0.3558237097
290	0.3556275957
291	0.3554479835
292	0.3553310137
293	0.3551595024
294	0.3550344317
295	0.3549111827
296	0.3548449184
297	0.3547670814
298	0.3546147293
299	0.3544174366
300	0.3541386422
301	0.354019015
302	0.3538966018
303	0.3536574974
304	0.353448032
305	0.3531324194
306	0.3530124707
307	0.3529038161
308	0.3527932756
309	0.3525854389
310	0.3524104558
311	0.352288214
312	0.3521454629
313	0.3519454056
314	0.351769158
315	0.3515814235
316	0.351325153
317	0.3511415974
318	0.3508287923
319	0.3506573023
320	0.3505687285
321	0.3504216269
322	0.3503419469
323	0.3501900019
324	0.3500629596
325	0.3499686423
326	0.3497046781
327	0.349368149
328	0.3493639485
329	0.3492226547
330	0.3490873187
331	0.3489223866
332	0.3487764851
333	0.3485372308
334	0.3484345125
335	0.3482665587
336	0.3480021873
337	0.3478755308
338	0.3476909252
339	0.3475550962
340	0.3474427341
341	0.347204637
342	0.3471630611
343	0.3469818844
344	0.346686824
345	0.3466277176
346	0.3464588208
347	0.3462004072
348	0.3461070114
349	0.3460422259
350	0.3458466905
351	0.3456093006
352	0.3454454829
353	0.3453714392
354	0.3451270629
355	0.3449433145
356	0.3448368673
357	0.3447041672
358	0.3445119965
359	0.3444732066
360	0.3442444105
361	0.3441095674
362	0.3438259939
363	0.343722547
364	0.3435169606
365	0.3434152282
366	0.3433129171
367	0.3432066414
368	0.342932669
369	0.3427741447
370	0.342636087
371	0.3424722693
372	0.3423428268
373	0.3422203707
374	0.3420822701
375	0.3418861989
376	0.3417458695
377	0.3416177985
378	0.3415211024
379	0.3414014538
380	0.3412538593
381	0.3410667248
382	0.340945126
383	0.3408054823
384	0.340688984
385	0.3406763398
386	0.3406537088
387	0.3405589629
388	0.3405357961
389	0.3403826081
390	0.3402542371
391	0.3400933769
392	0.3399187581
393	0.3398651809
394	0.3397103856
395	0.3395588693
396	0.3394762103
397	0.3393092638
398	0.3391673056
399	0.3389675269
400	0.3387650265
401	0.3386351768
402	0.3385406023
403	0.3380919039
404	0.3379084126
405	0.3378451058
406	0.3377469524
407	0.3375803487
408	0.3373270785
409	0.3372250246
410	0.3371537026
411	0.337070958
412	0.3369286141
413	0.3367445442
414	0.3366515127
415	0.3365727542
416	0.3364474264
417	0.3362967888
418	0.3361747184
419	0.3361214841
420	0.3359635171
421	0.335807286
422	0.3356040783
423	0.3355349851
424	0.3354491759
425	0.335365724
426	0.3352883157
427	0.3350498328
428	0.334935199
429	0.3349166184
430	0.3348049635
431	0.3344825573
432	0.3343146678
433	0.3340768278
434	0.3339872896
435	0.333969802
436	0.3338138709
437	0.3337488496
438	0.3336566325
439	0.3335644154
440	0.333479592
441	0.3334433738
442	0.3333630508
443	0.3333470848
444	0.3333161172
445	0.3332482242
446	0.3331160385
447	0.3330272932
448	0.3328899426
449	0.3328346081
450	0.3326521456
451	0.3324993648
452	0.3324302073
453	0.3322302572
454	0.332208612
455	0.3320684754
456	0.3319608067
457	0.3317791799
458	0.3316904347
459	0.3316415937
460	0.3315593634
461	0.3313724432
462	0.3312717824
463	0.3310867481
464	0.3309143152
465	0.3308153045
466	0.3307145365
467	0.330562763
468	0.3305156793
469	0.3304509795
470	0.3303236801
471	0.3301917301
472	0.3300774606
473	0.3299133001
474	0.329783236
475	0.3297091709
476	0.3293892507
477	0.3291076274
478	0.3289626261
479	0.3288911969
480	0.3287516819
481	0.3286560573
482	0.3286016657
483	0.3284921325
484	0.3283135489
485	0.3281007831
486	0.3280995401
487	0.3279417231
488	0.3277987791
489	0.3277011828
490	0.3276197241
491	0.3274752585
492	0.32735711
493	0.3271485447
494	0.3269936208
495	0.3268981248
496	0.3268093581
497	0.3264876805
498	0.3263602525
499	0.3261823976
500	0.3260557625
501	0.3257393783
502	0.3256611128
503	0.3255304487
504	0.3254292949
505	0.3253572014
506	0.3251884975
507	0.3250802287
508	0.3249804036
509	0.3248827216
510	0.324815943
511	0.3247369488
512	0.3246148356
513	0.324585261
514	0.3243764813
515	0.3243761384
516	0.3240242004
517	0.3240084273
518	0.3237132383
519	0.3235714087
520	0.3234549104
521	0.3233398695
522	0.3232466237
523	0.3231717656
524	0.3229833453
525	0.322925439
526	0.3228083407
527	0.3226854774
528	0.3225789445
529	0.3224755191
530	0.3223959248
531	0.3222309927
532	0.3221393328
533	0.3221120299
534	0.3220507375
535	0.321989188
536	0.3219293744
537	0.3217262525
538	0.3216167836
539	0.3212691318
540	0.3211697782
541	0.3210306703
542	0.320981615
543	0.3209474971
544	0.3209023636
545	0.3206602804
546	0.3204841614
547	0.3204065601
548	0.3203001987
549	0.3201173932
550	0.3199027629
